0.000000	0.275105	blank
0.275105	0.744194	some
0.744194	1.551874	rectangle
1.551874	1.809344	have
1.809344	2.158515	four
2.158515	2.821589	sides
2.821589	2.948560	that
2.948560	3.198976	are
3.198976	3.706862	all
3.706862	3.837360	the
3.837360	4.623878	same
4.623878	5.167034	legth
5.167034	5.875958	blank
5.875958	6.147536	we
6.147536	6.521397	call
6.521397	6.800028	this
6.800028	7.498372	special
7.498372	7.967461	kind
7.967461	8.108540	of
8.108540	8.940909	rectangle
8.940909	9.173690	a
9.173690	9.840290	square
9.840290	10.806684	blank
10.806684	11.258138	picture
11.258138	11.847145	frames
11.847145	12.129304	and
12.129304	12.810012	postage
12.810012	13.399019	stamps
13.399019	13.670597	are
13.670597	14.351305	often
14.351305	15.575169	square-shaped
15.575169	16.238242	blank
16.238242	16.492185	can
16.492185	16.693223	you
16.693223	17.130570	name
17.130570	17.306919	the
17.306919	17.723103	things
17.723103	18.019370	in
18.019370	18.340326	this
18.340326	18.957548	picture
18.957548	19.084520	that
19.084520	19.225599	are
19.225599	19.934523	square
19.934523	20.244898	blank
