0.000000	0.222924	blank
0.222924	0.400119	but
0.400119	0.480143	it
0.480143	0.868831	might
0.868831	1.114619	have
1.114619	1.240370	a
1.240370	1.800538	very
1.800538	2.223521	different
2.223521	2.852280	shape
2.852280	3.218104	than
3.218104	3.846863	houses
3.846863	4.086935	in
4.086935	4.532782	other
4.532782	4.961481	parts
4.961481	5.155825	of
5.155825	5.293009	the
5.293009	5.881756	world
5.881756	6.859191	blank
6.859191	7.190718	which
7.190718	7.322186	of
7.322186	7.779466	these
7.779466	8.419657	houses
8.419657	8.596852	would
8.596852	8.974108	you
8.974108	9.351363	like
9.351363	9.482831	to
9.482831	9.814359	live
9.814359	10.157318	in
10.157318	11.323381	blank
11.323381	11.763512	tell
11.763512	11.877832	a
11.877832	12.512307	story
12.512307	12.843835	about
12.843835	13.604062	people
13.604062	14.078489	living
14.078489	14.261401	in
14.261401	14.724396	one
14.724396	14.993048	of
14.993048	15.347439	these
15.347439	16.153394	houses
16.153394	16.404898	blank
